"gsm","arm","slot","column","row"
"GSM5050523","Healer",1,0,0
"GSM5050527","Healer",2,1,0
"GSM5050531","Healer",3,2,0
"GSM5050532","Healer",4,0,1
"GSM5050539","Healer",5,1,1
"GSM5050547","Healer",6,2,1
"GSM5050566","Healer",7,0,2
"GSM5050569","Healer",8,1,2
"GSM5050573","Healer",9,2,2
"GSM5050530","Non-healer",1,0,0
"GSM5050533","Non-healer",2,1,0
"GSM5050557","Non-healer",3,2,0
"GSM5050558","Non-healer",4,0,1
"GSM5050563","Non-healer",5,1,1
"GSM5050534","Healthy",1,0,0
"GSM5050538","Healthy",2,1,0
"GSM5050540","Healthy",3,2,0
"GSM5050548","Healthy",4,0,1
"GSM5050552","Healthy",5,1,1
"GSM5050555","Healthy",6,2,1
"GSM5050556","Healthy",7,0,2
"GSM5050564","Healthy",8,1,2
"GSM5050567","Healthy",9,2,2
"GSM5050568","Healthy",10,0,3
"GSM5050574","Healthy",11,1,3
