"gsm","arm","celltype","topic_0","x","y"
"GSM5050534","Non-diabetic","fibroblast",0.014520768,0.2254887,-0.04267125
"GSM5050558","DFU-nonhealer","myeloid",0.008705027,13.518965,-0.99095047
"GSM5050547","DFU-healer","pericyte_smc",0.016722793,-2.1497836,3.1662538
"GSM5050534","Non-diabetic","keratinocyte",0.00664865,3.848393,13.902051
"GSM5050556","Non-diabetic","fibroblast",0.021668885,2.074699,-0.40944383
"GSM5050530","DFU-nonhealer","t_cell",0.0067183413,13.676655,2.9504333
"GSM5050555","Non-diabetic","keratinocyte",0.0076776566,4.3085856,13.002738
"GSM5050538","Non-diabetic","keratinocyte",0.0037007325,2.0159404,17.018984
"GSM5050534","Non-diabetic","myeloid",0.0059255646,11.209164,-3.2972677
"GSM5050564","Non-diabetic","sweat_gland",0.014652031,0.31651843,-0.13201073
"GSM5050547","DFU-healer","pericyte_smc",0.05061525,-6.3592243,7.9899144
"GSM5050540","Non-diabetic","fibroblast",0.91576433,6.5145755,3.0339308
"GSM5050556","Non-diabetic","keratinocyte",0.0075511583,-1.1240782,13.091432
"GSM5050557","DFU-nonhealer","pericyte_smc",0.007286722,-10.629298,6.3737683
"GSM5050539","DFU-healer","b_plasma",0.007521508,14.163197,2.2621071
"GSM5050539","DFU-healer","fibroblast",0.6897845,6.1610026,2.0180614
"GSM5050534","Non-diabetic","keratinocyte",0.008366867,3.7874837,12.994126
"GSM5050523","DFU-healer","pericyte_smc",0.010809093,-6.890808,1.6854421
"GSM5050547","DFU-healer","fibroblast",0.021181928,4.2445827,-2.2129674
"GSM5050533","DFU-nonhealer","fibroblast",0.010166717,5.8421793,-3.780508
"GSM5050555","Non-diabetic","melanocyte",0.030938735,3.1837127,2.6469314
"GSM5050531","DFU-healer","pericyte_smc",0.036086507,-3.562057,3.841477
"GSM5050573","DFU-healer","fibroblast",0.015646249,6.2347546,-3.29198
"GSM5050530","DFU-nonhealer","pericyte_smc",0.4889948,-1.713615,4.6229687
"GSM5050538","Non-diabetic","endothelial",0.008511664,-2.2342188,-9.54426
"GSM5050531","DFU-healer","myeloid",0.006512959,11.109055,-4.076544
"GSM5050564","Non-diabetic","keratinocyte",0.0047888733,3.483956,14.834587
"GSM5050558","DFU-nonhealer","pericyte_smc",0.013134787,-5.613412,6.4689684
"GSM5050557","DFU-nonhealer","endothelial",0.007986451,-2.0711963,-10.76919
"GSM5050563","DFU-nonhealer","fibroblast",0.064922735,2.9708595,-1.7064086
"GSM5050547","DFU-healer","fibroblast",0.8743439,6.5757737,2.4774327
"GSM5050563","DFU-nonhealer","endothelial",0.006903639,-0.7377236,-9.655759
"GSM5050558","DFU-nonhealer","myeloid",0.0049119093,14.232683,-3.302102
"GSM5050573","DFU-healer","myeloid",0.030491512,10.55561,-2.2648163
"GSM5050555","Non-diabetic","pericyte_smc",0.014109289,-5.6245894,1.8478694
"GSM5050556","Non-diabetic","pericyte_smc",0.010138916,-6.18532,1.4860308
"GSM5050574","Non-diabetic","endothelial",0.0051856935,-1.4311566,-10.171827
"GSM5050556","Non-diabetic","fibroblast",0.01932039,2.982096,2.540816
