"celltype","gene","cells","mean_log1p_cp10k","detected_fraction","pseudobulk_log1p_cp10k","scaled"
"B/plasma","COL1A1",1516,0.819619652200859,0.355540897097625,2.90856734444934,0.122189767121924
"B/plasma","PDGFRA",1516,0.0393068505430482,0.0356200527704486,0.0922361565401887,0.0308861058983334
"B/plasma","KRT14",1516,0.343268145286855,0.24802110817942,0.716337928998347,0
"B/plasma","KRT10",1516,0.619628147339871,0.476253298153034,0.892566535571533,0.00731387230492239
"B/plasma","LYZ",1516,0.043452699785452,0.0329815303430079,0.203041585410936,0.0146878506933197
"B/plasma","CD3D",1516,0.0213062738589955,0.0158311345646438,0.037153779968908,0.0151247677324724
"B/plasma","MS4A1",1516,1.31279021471988,0.560026385224274,1.50769489000265,1
"B/plasma","PECAM1",1516,0.0749009177704166,0.0883905013192612,0.175007616816884,0.0274842479575325
"B/plasma","CCL21",1516,0.0509347420119211,0.0507915567282322,0.100378096289021,0.0103791603439715
"B/plasma","RGS5",1516,0.160370509850468,0.0817941952506596,0.568162679324631,0.0633576648751336
"B/plasma","TPSAB1",1516,0.0198808046476491,0.016490765171504,0.0533385395221083,0.00434649016676711
"B/plasma","PMEL",1516,0.00324686621128565,0.00527704485488127,0.00892514387094161,0.0014855937924662
"B/plasma","DCD",1516,0.022032948455948,0.0171503957783641,0.0342702544435928,0
"B/plasma","TIMP1",1516,0.744559797813342,0.397097625329815,2.15516258501786,0.179166461139154
"B/plasma","CHI3L1",1516,0.0877040327305699,0.0534300791556728,0.475382957216165,0.15204483625208
"B/plasma","FN1",1516,0.333039869627518,0.178100263852243,1.19935443760333,0.12666963992013
"B/plasma","DCN",1516,0.366577398615654,0.178100263852243,1.3542385082272,0.0479974433952996
"B/plasma","LUM",1516,0.380983611172925,0.178100263852243,1.39973066696564,0.0823453498258406
"Blood EC","COL1A1",7636,0.343307253853273,0.250654793085385,0.986448148561039,0
"Blood EC","PDGFRA",7636,0.0280503018843378,0.036537454164484,0.0459403756468497,0.0189438607810536
"Blood EC","KRT14",7636,0.492354729411969,0.400602409638554,0.874564527308639,0.0407830985478856
"Blood EC","KRT10",7636,0.790049625383812,0.626244106862232,1.10433577866592,0.0780443449662961
"Blood EC","LYZ",7636,0.0107898633697983,0.0117862755369303,0.013157550835949,0.00213690997967156
"Blood EC","CD3D",7636,0.00239968429821821,0.00261917234154007,0.00333538442900533,0.000932048427222439
"Blood EC","MS4A1",7636,0.000609379912963607,0.000785751702462022,0.000834889635898577,0.000464186818374202
"Blood EC","PECAM1",7636,2.18658675324517,0.906495547407019,2.50726333201143,1
"Blood EC","CCL21",7636,0.0220375936125211,0.0292037716081718,0.0278863178757242,2.56315591459448e-05
"Blood EC","RGS5",7636,0.0690680294097194,0.0540859088528025,0.401925307354381,0.0174438788656526
"Blood EC","TPSAB1",7636,0.00819248421879342,0.00838135149292824,0.00997296330908658,0.000854955337152414
"Blood EC","PMEL",7636,0.0111732674554622,0.0197747511786276,0.0185598954474596,0.00708319816850467
"Blood EC","DCD",7636,0.225490346470262,0.179282346778418,0.31890350229622,0.0821598104167497
"Blood EC","TIMP1",7636,1.18611790031554,0.757464641173389,1.48480306112928,0.376247355477746
"Blood EC","CHI3L1",7636,0.0111502970323707,0.0120481927710843,0.0191453520984609,0
"Blood EC","FN1",7636,0.706191502275399,0.418805657412258,1.4754334264732,0.327936096608828
"Blood EC","DCN",7636,0.207128178943638,0.150078575170246,0.821740135593845,0.00478867929494083
"Blood EC","LUM",7636,0.139299872548076,0.114457831325301,0.384450710630331,0.00320537375932977
"Fibro.","COL1A1",19410,4.24144381280351,0.987892838742916,5.2149648794891,1
"Fibro.","PDGFRA",19410,0.952776436676656,0.697166409067491,1.20169468859639,1
"Fibro.","KRT14",19410,0.501187663719515,0.424317362184441,0.831196625512441,0.0431993751863613
"Fibro.","KRT10",19410,1.17154388960228,0.804945904173107,1.37342807683335,0.23637690923861
"Fibro.","LYZ",19410,0.0147501124434528,0.0179804224626481,0.0274420149911455,0.0036586654911095
"Fibro.","CD3D",19410,0.0021592591459355,0.00262751159196291,0.00322365897795888,0.000751567082911169
"Fibro.","MS4A1",19410,0.000256785464734229,0.000412158681092221,0.000484211833690747,0.000195602817460839
"Fibro.","PECAM1",19410,0.0457321046409649,0.0703760947964966,0.0821995492890685,0.0140508433477045
"Fibro.","CCL21",19410,0.0265696247727105,0.0328181349819681,0.0373926534065649,0.00164940821773559
"Fibro.","RGS5",19410,0.0564455049678179,0.0487377640391551,0.143994431808965,0.0110963198143844
"Fibro.","TPSAB1",19410,0.00533042142387622,0.00587326120556414,0.00654389175353712,0
"Fibro.","PMEL",19410,0.003526558904152,0.00458526532715095,0.00531347835283928,0.0016831120600009
"Fibro.","DCD",19410,0.187816882923386,0.138021638330757,0.236800438751176,0.0669465782956161
"Fibro.","TIMP1",19410,2.58363050583878,0.95548686244204,3.56932646600869,1
"Fibro.","CHI3L1",19410,0.514644776590218,0.219938176197836,2.06112014119244,1
"Fibro.","FN1",19410,1.95221007347732,0.84925296239052,2.88318897319988,1
"Fibro.","DCN",19410,3.87966248533128,0.983101494075219,4.1685083753898,1
"Fibro.","LUM",19410,3.18338787819189,0.967233384853168,3.66325464393105,1
"Keratin.","COL1A1",10821,0.402276128444225,0.345439423343499,0.932062212808602,0.0151274522324155
