"arm","loading","density","cells"
"Healer",0.01,17.2507225433526,2865
"Healer",0.03,8.95953757225434,1488
"Healer",0.05,2.55298651252409,424
"Healer",0.07,1.51131984585742,251
"Healer",0.09,1.1259633911368,187
"Healer",0.11,0.758670520231214,126
"Healer",0.13,0.788776493256261,131
"Healer",0.15,0.680394990366089,113
"Healer",0.17,0.553949903660887,92
"Healer",0.19,0.584055876685934,97
"Healer",0.21,0.463631984585742,77
"Healer",0.23,0.469653179190752,78
"Healer",0.25,0.572013487475915,95
"Healer",0.27,0.457610789980732,76
"Healer",0.29,0.584055876685936,97
"Healer",0.31,0.674373795761078,112
"Healer",0.33,0.638246628131021,106
"Healer",0.35,0.463631984585743,77
"Healer",0.37,0.547928709055876,91
"Healer",0.39,0.451589595375722,75
"Healer",0.41,0.421483622350675,70
"Healer",0.43,0.475674373795761,79
"Healer",0.45,0.523843930635838,87
"Healer",0.47,0.469653179190752,78
"Healer",0.49,0.457610789980732,76
"Healer",0.51,0.403420038535645,67
"Healer",0.53,0.421483622350674,70
"Healer",0.55,0.475674373795761,79
"Healer",0.57,0.403420038535647,67
"Healer",0.59,0.379335260115607,63
"Healer",0.61,0.349229287090558,58
"Healer",0.63,0.295038535645472,49
"Healer",0.65,0.32514450867052,54
"Healer",0.67,0.421483622350674,70
"Healer",0.69,0.355250481695568,59
"Healer",0.71,0.427504816955686,71
"Healer",0.73,0.33116570327553,55
"Healer",0.75,0.295038535645472,49
"Healer",0.77,0.222784200385356,37
"Healer",0.79,0.31912331406551,53
"Healer",0.81,0.33116570327553,55
"Healer",0.83,0.319123314065512,53
"Healer",0.85,0.385356454720616,64
"Healer",0.87,0.397398843930635,66
"Healer",0.89,0.270953757225433,45
"Healer",0.91,0.313102119460501,52
"Healer",0.93,0.108381502890173,18
"Healer",0.95,0.0120423892100193,2
"Healer",0.97,0,0
"Healer",0.99,0,0
"Non-healer",0.01,35.8801605504587,2503
"Non-healer",0.03,7.89850917431193,551
"Non-healer",0.05,1.60550458715596,112
"Non-healer",0.07,0.731077981651376,51
"Non-healer",0.09,0.344036697247706,24
"Non-healer",0.11,0.25802752293578,18
"Non-healer",0.13,0.229357798165137,16
"Non-healer",0.15,0.143348623853211,10
"Non-healer",0.17,0.157683486238532,11
"Non-healer",0.19,0.172018348623853,12
"Non-healer",0.21,0.200688073394496,14
"Non-healer",0.23,0.229357798165138,16
"Non-healer",0.25,0.12901376146789,9
"Non-healer",0.27,0.157683486238532,11
"Non-healer",0.29,0.114678899082569,8
"Non-healer",0.31,0.200688073394495,14
"Non-healer",0.33,0.0716743119266054,5
"Non-healer",0.35,0.186353211009175,13
"Non-healer",0.37,0.0860091743119265,6
"Non-healer",0.39,0.0573394495412844,4
"Non-healer",0.41,0.0286697247706423,2
"Non-healer",0.43,0.12901376146789,9
"Non-healer",0.45,0.0716743119266054,5
"Non-healer",0.47,0.0860091743119268,6
"Non-healer",0.49,0.0860091743119265,6
"Non-healer",0.51,0.0860091743119265,6
"Non-healer",0.53,0.0716743119266054,5
"Non-healer",0.55,0.0716743119266054,5
"Non-healer",0.57,0.0430045871559635,3
"Non-healer",0.59,0.0716743119266054,5
"Non-healer",0.61,0.0286697247706422,2
"Non-healer",0.63,0,0
"Non-healer",0.65,0.0573394495412844,4
"Non-healer",0.67,0.0286697247706422,2
"Non-healer",0.69,0.0573394495412844,4
"Non-healer",0.71,0.0430045871559635,3
"Non-healer",0.73,0.0430045871559633,3
"Non-healer",0.75,0.0143348623853211,1
"Non-healer",0.77,0.0286697247706422,2
"Non-healer",0.79,0.0430045871559633,3
"Non-healer",0.81,0.0430045871559633,3
"Non-healer",0.83,0,0
"Non-healer",0.85,0.0143348623853211,1
"Non-healer",0.87,0,0
"Non-healer",0.89,0,0
"Non-healer",0.91,0,0
"Non-healer",0.93,0,0
"Non-healer",0.95,0,0
"Non-healer",0.97,0,0
"Non-healer",0.99,0,0
"Healthy",0.01,37.3129430296666,5685
"Healthy",0.03,5.71672354948805,871
"Healthy",0.05,0.38724074560252,59
"Healthy",0.07,0.203465476503019,31
"Healthy",0.09,0.131268049356787,20
"Healthy",0.11,0.124704646888947,19
"Healthy",0.13,0.124704646888947,19
"Healthy",0.15,0.137831451824626,21
"Healthy",0.17,0.164085061695983,25
"Healthy",0.19,0.150958256760304,23
"Healthy",0.21,0.0853242320819113,13
"Healthy",0.23,0.157521659228144,24
"Healthy",0.25,0.203465476503019,31
"Healthy",0.27,0.137831451824626,21
"Healthy",0.29,0.170648464163823,26
"Healthy",0.31,0.150958256760304,23
"Healthy",0.33,0.157521659228144,24
"Healthy",0.35,0.124704646888947,19
"Healthy",0.37,0.144394854292465,22
"Healthy",0.39,0.19690207403518,30
"Healthy",0.41,0.164085061695984,25
"Healthy",0.43,0.131268049356786,20
"Healthy",0.45,0.164085061695983,25
"Healthy",0.47,0.150958256760305,23
