"gsm","arm","celltype","cells","fraction"
"GSM5050523","Healer","b_plasma",40,0.0101240192356365
"GSM5050523","Healer","endothelial",420,0.106302201974184
"GSM5050523","Healer","fibroblast",1238,0.313338395342951
"GSM5050523","Healer","keratinocyte",170,0.0430270817514553
"GSM5050523","Healer","lymphatic_ec",50,0.0126550240445457
"GSM5050523","Healer","mast",43,0.0108833206783093
"GSM5050523","Healer","melanocyte",14,0.00354340673247279
"GSM5050523","Healer","myeloid",97,0.0245507466464186
"GSM5050523","Healer","pericyte_smc",1599,0.404707668944571
"GSM5050523","Healer","t_cell",280,0.0708681346494558
"GSM5050527","Healer","b_plasma",28,0.00977312390924956
"GSM5050527","Healer","endothelial",155,0.0541012216404887
"GSM5050527","Healer","fibroblast",956,0.333682373472949
"GSM5050527","Healer","keratinocyte",311,0.108551483420593
"GSM5050527","Healer","lymphatic_ec",29,0.0101221640488656
"GSM5050527","Healer","mast",13,0.00453752181500873
"GSM5050527","Healer","melanocyte",8,0.00279232111692845
"GSM5050527","Healer","myeloid",443,0.154624781849913
"GSM5050527","Healer","pericyte_smc",843,0.294240837696335
"GSM5050527","Healer","sweat_gland",4,0.00139616055846422
"GSM5050527","Healer","t_cell",75,0.0261780104712042
"GSM5050530","Non-healer","b_plasma",536,0.235190873189996
"GSM5050530","Non-healer","endothelial",262,0.114962702939886
"GSM5050530","Non-healer","fibroblast",221,0.0969723562966213
"GSM5050530","Non-healer","keratinocyte",196,0.0860026327336551
"GSM5050530","Non-healer","lymphatic_ec",58,0.0254497586660816
"GSM5050530","Non-healer","mast",46,0.0201842913558578
"GSM5050530","Non-healer","melanocyte",44,0.0193067134708205
"GSM5050530","Non-healer","myeloid",60,0.0263273365511189
"GSM5050530","Non-healer","pericyte_smc",442,0.193944712593243
"GSM5050530","Non-healer","sweat_gland",14,0.00614304519526108
"GSM5050530","Non-healer","t_cell",400,0.175515577007459
"GSM5050531","Healer","b_plasma",28,0.0157746478873239
"GSM5050531","Healer","endothelial",211,0.11887323943662
"GSM5050531","Healer","fibroblast",452,0.254647887323944
"GSM5050531","Healer","keratinocyte",230,0.129577464788732
"GSM5050531","Healer","lymphatic_ec",34,0.0191549295774648
"GSM5050531","Healer","mast",6,0.00338028169014085
"GSM5050531","Healer","melanocyte",20,0.0112676056338028
"GSM5050531","Healer","myeloid",139,0.0783098591549296
"GSM5050531","Healer","pericyte_smc",318,0.179154929577465
"GSM5050531","Healer","sweat_gland",16,0.00901408450704225
"GSM5050531","Healer","t_cell",321,0.180845070422535
"GSM5050532","Healer","b_plasma",7,0.0028961522548614
"GSM5050532","Healer","endothelial",249,0.103020273065784
"GSM5050532","Healer","fibroblast",1153,0.477037649979313
"GSM5050532","Healer","keratinocyte",42,0.0173769135291684
"GSM5050532","Healer","lymphatic_ec",46,0.0190318576748035
"GSM5050532","Healer","mast",24,0.00992966487381051
"GSM5050532","Healer","melanocyte",28,0.0115846090194456
"GSM5050532","Healer","myeloid",471,0.194869673148531
"GSM5050532","Healer","pericyte_smc",317,0.13115432354158
"GSM5050532","Healer","sweat_gland",10,0.00413736036408771
"GSM5050532","Healer","t_cell",70,0.028961522548614
"GSM5050533","Non-healer","b_plasma",13,0.00303030303030303
"GSM5050533","Non-healer","endothelial",318,0.0741258741258741
"GSM5050533","Non-healer","fibroblast",843,0.196503496503496
"GSM5050533","Non-healer","keratinocyte",1861,0.433799533799534
"GSM5050533","Non-healer","lymphatic_ec",82,0.0191142191142191
"GSM5050533","Non-healer","mast",8,0.00186480186480186
"GSM5050533","Non-healer","melanocyte",342,0.0797202797202797
"GSM5050533","Non-healer","myeloid",36,0.00839160839160839
"GSM5050533","Non-healer","pericyte_smc",692,0.161305361305361
"GSM5050533","Non-healer","sweat_gland",22,0.00512820512820513
"GSM5050533","Non-healer","t_cell",73,0.017016317016317
