"sample","arm","mean","weight"
"GSM5050540","Healthy",0.466256350278854,0.841176470588235
"GSM5050527","Healer",0.35362920165062,0.584728033472803
"GSM5050539","Healer",0.352103024721146,0.699438202247191
"GSM5050531","Healer",0.350415587425232,0.688053097345133
"GSM5050547","Healer",0.343981027603149,0.587186629526462
"GSM5050530","Non-healer",0.249605059623718,0.51131221719457
"GSM5050573","Healer",0.208663240075111,0.371900826446281
"GSM5050532","Healer",0.0920663997530937,0.142237640936687
"GSM5050566","Healer",0.0704955011606216,0.0823529411764706
"GSM5050563","Non-healer",0.0546978078782558,0.0837155963302752
"GSM5050569","Healer",0.0392706356942654,0.0483250961010434
"GSM5050552","Healthy",0.0295497607439756,0.0186046511627907
"GSM5050523","Healer",0.0274228472262621,0.0226171243941842
"GSM5050564","Healthy",0.020514702424407,0
"GSM5050558","Non-healer",0.0204565115272999,0.00638977635782748
"GSM5050557","Non-healer",0.0162186790257692,0.00107991360691145
"GSM5050534","Healthy",0.016020804643631,0
"GSM5050548","Healthy",0.0141392042860389,0
"GSM5050556","Healthy",0.0138265667483211,0
"GSM5050567","Healthy",0.0136336972936988,0
"GSM5050555","Healthy",0.0135813215747476,0
"GSM5050568","Healthy",0.0134963979944587,0
"GSM5050538","Healthy",0.0131041118875146,0.00102669404517454
"GSM5050533","Non-healer",0.0124821104109287,0
"GSM5050574","Healthy",0.0120410472154617,0
