gsm,weight_all,weight_pure,n_pure
GSM5050523,0.022617124394184167,0.0244173140954495,901
GSM5050527,0.5847280334728033,0.36363636363636365,264
GSM5050531,0.6902654867256637,0.5981308411214953,214
GSM5050532,0.14310494362532525,0.12667946257197696,521
GSM5050533,0.0,0.0,693
GSM5050534,0.0,0.0,760
GSM5050538,0.001026694045174538,0.0,768
GSM5050539,0.699438202247191,0.6518987341772152,158
GSM5050540,0.842156862745098,0.8048289738430584,497
GSM5050547,0.5877437325905293,0.40129449838187703,618
GSM5050548,0.0,0.0,449
GSM5050552,0.018604651162790697,0.017543859649122806,114
GSM5050555,0.0,0.0,718
GSM5050556,0.0,0.0,822
GSM5050557,0.0010799136069114472,0.002257336343115124,443
GSM5050558,0.006389776357827476,0.004366812227074236,229
GSM5050563,0.08371559633027523,0.037463976945244955,347
GSM5050564,0.0,0.0,123
GSM5050566,0.08235294117647059,0.07142857142857142,98
GSM5050567,0.0,0.0,97
GSM5050568,0.0,0.0,302
GSM5050569,0.04832509610104338,0.02554399243140965,1057
GSM5050573,0.371900826446281,0.2975609756097561,205
GSM5050574,0.0,0.0,854
