patient_id,tissue_site_foot,n_samples_foot,n_cells_foot,topic0_all_mean_foot,topic0_fibro_mean_foot,n_fibroblasts_foot,tissue_site_forearm,n_samples_forearm,n_cells_forearm,topic0_all_mean_forearm,topic0_fibro_mean_forearm,n_fibroblasts_forearm
NCOMMS2022_S01,foot,1,2279,0.04978358373045921,0.2523713707923889,221,forearm,1,1620,0.008065294474363327,0.015102483332157135,62
NCOMMS2022_S02,foot,2,7495,0.14958504589897065,0.3472399912077746,2780,forearm,1,3566,0.008472952991724014,0.013169596903026104,319
NCOMMS2022_S03,foot,1,3951,0.018507394939661026,0.02739710733294487,1239,forearm,1,4289,0.013405244797468185,0.016112783923745155,564
NCOMMS2022_S04,foot,1,2250,0.07579437643289566,0.35506635904312134,356,forearm,1,4404,0.009256893768906593,0.016142770648002625,39
NCOMMS2022_S05,foot,1,4290,0.03460310772061348,0.012567039579153061,858,forearm,1,2902,0.019246399402618408,0.019032463431358337,608
NCOMMS2022_S12,foot,1,542,0.01489195879548788,0.01958332769572735,206,forearm,1,1384,0.010142171755433083,0.015341861173510551,373
NCOMMS2022_S13,foot,1,1171,0.024196431040763855,0.015637127682566643,212,forearm,1,1838,0.02503223530948162,0.011496346443891525,352
NCOMMS2022_S19,foot,1,2922,0.21143628656864166,0.46883049607276917,1021,forearm,1,3774,0.00980688352137804,0.012697885744273663,902
NCOMMS2022_S20,foot,1,2483,0.010261920280754566,0.029438083991408348,217,forearm,1,4837,0.011674496345221996,0.012136667966842651,739
NCOMMS2022_S21,foot,2,7657,0.011128966074665082,0.013743608095611223,1942,forearm,1,5248,0.009293308481574059,0.012358782812952995,1207
