gsm,patient_id,tissue_site,n_cells,n_fibroblasts,topic0_all_mean,topic0_fibro_mean
GSM5050521,NCOMMS2022_S18,forearm,3054,1565,0.024001087993383408,0.014724387787282467
GSM5050522,NCOMMS2022_S16,foot,985,523,0.10669035464525223,0.1722964197397232
GSM5050523,NCOMMS2022_S03,foot,3951,1239,0.018507394939661026,0.02739710733294487
GSM5050524,NCOMMS2022_S12,foot,542,206,0.01489195879548788,0.01958332769572735
GSM5050525,NCOMMS2022_S17,foot,1984,690,0.016462871804833412,0.020802024751901627
GSM5050526,NCOMMS2022_S16,foot,1011,275,0.06439278274774551,0.1813986450433731
GSM5050527,NCOMMS2022_S02,foot,2865,975,0.1446036398410797,0.3541678190231323
GSM5050528,NCOMMS2022_S12,forearm,1384,373,0.010142171755433083,0.015341861173510551
GSM5050529,NCOMMS2022_S17,foot,2630,893,0.016076263040304184,0.020089952275156975
GSM5050530,NCOMMS2022_S01,foot,2279,221,0.04978358373045921,0.2523713707923889
GSM5050531,NCOMMS2022_S08,foot,1775,457,0.10626772791147232,0.351095587015152
GSM5050532,NCOMMS2022_S08,foot,2417,1159,0.052658241242170334,0.09141246974468231
GSM5050533,NCOMMS2022_S05,foot,4290,858,0.03460310772061348,0.012567039579153061
GSM5050534,NCOMMS2022_S23,foot,4825,1137,0.013517551124095917,0.015960998833179474
GSM5050535,NCOMMS2022_S01,forearm,1620,62,0.008065294474363327,0.015102483332157135
GSM5050536,NCOMMS2022_S02,forearm,3566,319,0.008472952991724014,0.013169596903026104
GSM5050537,NCOMMS2022_S03,forearm,4289,564,0.013405244797468185,0.016112783923745155
GSM5050538,NCOMMS2022_S25,foot,5399,1000,0.014188838191330433,0.013173072598874569
GSM5050539,NCOMMS2022_S04,foot,2250,356,0.07579437643289566,0.35506635904312134
GSM5050540,NCOMMS2022_S19,foot,2922,1021,0.21143628656864166,0.46883049607276917
GSM5050541,NCOMMS2022_S04,forearm,4404,39,0.009256893768906593,0.016142770648002625
GSM5050542,NCOMMS2022_S19,forearm,3774,902,0.00980688352137804,0.012697885744273663
GSM5050547,NCOMMS2022_S02,foot,4630,1805,0.15266749262809753,0.3434978127479553
GSM5050548,NCOMMS2022_S23,foot,3515,567,0.012410860508680344,0.014112547971308231
GSM5050552,NCOMMS2022_S20,foot,2483,217,0.010261920280754566,0.029438083991408348
GSM5050553,NCOMMS2022_S20,forearm,4837,739,0.011674496345221996,0.012136667966842651
GSM5050555,NCOMMS2022_S21,foot,3465,912,0.010994810611009598,0.013606103137135506
GSM5050556,NCOMMS2022_S21,foot,4192,1030,0.01123985555022955,0.01386536005884409
GSM5050557,NCOMMS2022_S06,foot,4268,930,0.010307748802006245,0.01624632254242897
GSM5050558,NCOMMS2022_S06,foot,3413,635,0.01021325122565031,0.020424211397767067
GSM5050559,NCOMMS2022_S05,forearm,2902,608,0.019246399402618408,0.019032463431358337
GSM5050560,NCOMMS2022_S21,forearm,5248,1207,0.009293308481574059,0.012358782812952995
GSM5050562,NCOMMS2022_S14,foot,1197,350,0.017244597896933556,0.03150610625743866
GSM5050563,NCOMMS2022_S07,foot,2481,869,0.027744153514504433,0.054801810532808304
GSM5050564,NCOMMS2022_S27,foot,1716,212,0.02073855511844158,0.020347967743873596
GSM5050565,NCOMMS2022_S15,foot,1832,461,0.01277663093060255,0.015767792239785194
GSM5050566,NCOMMS2022_S10,foot,1838,171,0.01673932932317257,0.0702788382768631
GSM5050567,NCOMMS2022_S24,foot,789,155,0.012495908886194229,0.013632236048579216
GSM5050568,NCOMMS2022_S26,foot,1445,430,0.018598772585392,0.013578061945736408
GSM5050569,NCOMMS2022_S11,foot,3374,1829,0.02973904460668564,0.03925606980919838
GSM5050570,NCOMMS2022_S13,foot,1171,212,0.024196431040763855,0.015637127682566643
GSM5050572,NCOMMS2022_S13,forearm,1838,352,0.02503223530948162,0.011496346443891525
GSM5050573,NCOMMS2022_S09,foot,2928,366,0.05342869088053703,0.20707760751247406
GSM5050574,NCOMMS2022_S22,foot,2951,1171,0.010370454750955105,0.01208819542080164
