gsm,arm,celltype,cells,fraction
GSM5050523,DFU-healer,b_plasma,40,0.010124019235636548
GSM5050523,DFU-healer,endothelial,420,0.10630220197418375
GSM5050523,DFU-healer,fibroblast,1238,0.31333839534295116
GSM5050523,DFU-healer,keratinocyte,170,0.04302708175145533
GSM5050523,DFU-healer,lymphatic_ec,50,0.012655024044545684
GSM5050523,DFU-healer,mast,43,0.010883320678309289
GSM5050523,DFU-healer,melanocyte,14,0.003543406732472792
GSM5050523,DFU-healer,myeloid,97,0.02455074664641863
GSM5050523,DFU-healer,pericyte_smc,1599,0.404707668944571
GSM5050523,DFU-healer,t_cell,280,0.07086813464945584
GSM5050527,DFU-healer,b_plasma,28,0.009773123909249564
GSM5050527,DFU-healer,endothelial,155,0.05410122164048865
GSM5050527,DFU-healer,fibroblast,956,0.3336823734729494
GSM5050527,DFU-healer,keratinocyte,311,0.10855148342059337
GSM5050527,DFU-healer,lymphatic_ec,29,0.01012216404886562
GSM5050527,DFU-healer,mast,13,0.004537521815008726
GSM5050527,DFU-healer,melanocyte,8,0.002792321116928447
GSM5050527,DFU-healer,myeloid,443,0.15462478184991274
GSM5050527,DFU-healer,pericyte_smc,843,0.2942408376963351
GSM5050527,DFU-healer,sweat_gland,4,0.0013961605584642235
GSM5050527,DFU-healer,t_cell,75,0.02617801047120419
GSM5050530,DFU-nonhealer,b_plasma,536,0.23519087318999563
GSM5050530,DFU-nonhealer,endothelial,262,0.11496270293988592
GSM5050530,DFU-nonhealer,fibroblast,221,0.09697235629662132
GSM5050530,DFU-nonhealer,keratinocyte,196,0.08600263273365512
GSM5050530,DFU-nonhealer,lymphatic_ec,58,0.025449758666081616
GSM5050530,DFU-nonhealer,mast,46,0.020184291355857833
GSM5050530,DFU-nonhealer,melanocyte,44,0.019306713470820535
GSM5050530,DFU-nonhealer,myeloid,60,0.02632733655111891
GSM5050530,DFU-nonhealer,pericyte_smc,442,0.19394471259324264
GSM5050530,DFU-nonhealer,sweat_gland,14,0.00614304519526108
GSM5050530,DFU-nonhealer,t_cell,400,0.1755155770074594
GSM5050531,DFU-healer,b_plasma,28,0.015774647887323943
GSM5050531,DFU-healer,endothelial,211,0.11887323943661972
GSM5050531,DFU-healer,fibroblast,452,0.25464788732394367
GSM5050531,DFU-healer,keratinocyte,230,0.1295774647887324
GSM5050531,DFU-healer,lymphatic_ec,34,0.01915492957746479
GSM5050531,DFU-healer,mast,6,0.0033802816901408453
GSM5050531,DFU-healer,melanocyte,20,0.011267605633802818
GSM5050531,DFU-healer,myeloid,139,0.07830985915492958
GSM5050531,DFU-healer,pericyte_smc,318,0.1791549295774648
GSM5050531,DFU-healer,sweat_gland,16,0.009014084507042254
GSM5050531,DFU-healer,t_cell,321,0.1808450704225352
GSM5050532,DFU-healer,b_plasma,7,0.0028961522548613984
GSM5050532,DFU-healer,endothelial,249,0.10302027306578403
GSM5050532,DFU-healer,fibroblast,1153,0.4770376499793132
GSM5050532,DFU-healer,keratinocyte,42,0.01737691352916839
GSM5050532,DFU-healer,lymphatic_ec,46,0.019031857674803476
GSM5050532,DFU-healer,mast,24,0.00992966487381051
GSM5050532,DFU-healer,melanocyte,28,0.011584609019445594
GSM5050532,DFU-healer,myeloid,471,0.19486967314853124
GSM5050532,DFU-healer,pericyte_smc,317,0.13115432354158046
GSM5050532,DFU-healer,sweat_gland,10,0.004137360364087712
GSM5050532,DFU-healer,t_cell,70,0.028961522548613984
GSM5050533,DFU-nonhealer,b_plasma,13,0.0030303030303030303
GSM5050533,DFU-nonhealer,endothelial,318,0.07412587412587412
GSM5050533,DFU-nonhealer,fibroblast,843,0.1965034965034965
GSM5050533,DFU-nonhealer,keratinocyte,1861,0.4337995337995338
GSM5050533,DFU-nonhealer,lymphatic_ec,82,0.019114219114219115
GSM5050533,DFU-nonhealer,mast,8,0.0018648018648018648
GSM5050533,DFU-nonhealer,melanocyte,342,0.07972027972027972
GSM5050533,DFU-nonhealer,myeloid,36,0.008391608391608392
GSM5050533,DFU-nonhealer,pericyte_smc,692,0.1613053613053613
GSM5050533,DFU-nonhealer,sweat_gland,22,0.005128205128205128
GSM5050533,DFU-nonhealer,t_cell,73,0.017016317016317017
GSM5050534,Non-diabetic,b_plasma,6,0.001243523316062176
GSM5050534,Non-diabetic,endothelial,162,0.033575129533678756
GSM5050534,Non-diabetic,fibroblast,1004,0.20808290155440415
GSM5050534,Non-diabetic,keratinocyte,1423,0.2949222797927461
GSM5050534,Non-diabetic,lymphatic_ec,85,0.017616580310880828
GSM5050534,Non-diabetic,mast,55,0.011398963730569948
GSM5050534,Non-diabetic,melanocyte,47,0.009740932642487047
GSM5050534,Non-diabetic,myeloid,175,0.03626943005181347
GSM5050534,Non-diabetic,pericyte_smc,1350,0.27979274611398963
GSM5050534,Non-diabetic,sweat_gland,386,0.08
GSM5050534,Non-diabetic,t_cell,132,0.027357512953367875
GSM5050538,Non-diabetic,b_plasma,4,0.0007408779403593258
GSM5050538,Non-diabetic,endothelial,498,0.09223930357473606
GSM5050538,Non-diabetic,fibroblast,974,0.18040377847749584
GSM5050538,Non-diabetic,keratinocyte,1303,0.24134098907205037
GSM5050538,Non-diabetic,lymphatic_ec,156,0.028894239674013705
GSM5050538,Non-diabetic,mast,54,0.010001852194850898
GSM5050538,Non-diabetic,melanocyte,153,0.028338581218744212
GSM5050538,Non-diabetic,myeloid,139,0.02574550842748657
GSM5050538,Non-diabetic,pericyte_smc,985,0.18244119281348398
GSM5050538,Non-diabetic,sweat_gland,1074,0.19892572698647898
GSM5050538,Non-diabetic,t_cell,59,0.010927949620300055
GSM5050539,DFU-healer,b_plasma,312,0.13866666666666666
GSM5050539,DFU-healer,endothelial,16,0.0071111111111111115
GSM5050539,DFU-healer,fibroblast,356,0.1582222222222222
GSM5050539,DFU-healer,keratinocyte,12,0.005333333333333333
GSM5050539,DFU-healer,lymphatic_ec,80,0.035555555555555556
GSM5050539,DFU-healer,mast,25,0.011111111111111112
GSM5050539,DFU-healer,melanocyte,9,0.004
GSM5050539,DFU-healer,myeloid,644,0.2862222222222222
GSM5050539,DFU-healer,pericyte_smc,445,0.19777777777777777
GSM5050539,DFU-healer,t_cell,351,0.156
GSM5050540,Non-diabetic,b_plasma,273,0.09342915811088295
GSM5050540,Non-diabetic,endothelial,31,0.010609171800136893
GSM5050540,Non-diabetic,fibroblast,1020,0.3490759753593429
GSM5050540,Non-diabetic,lymphatic_ec,47,0.016084873374401096
GSM5050540,Non-diabetic,mast,2,0.0006844626967830253
GSM5050540,Non-diabetic,melanocyte,63,0.021560574948665298
GSM5050540,Non-diabetic,myeloid,169,0.05783709787816564
GSM5050540,Non-diabetic,pericyte_smc,618,0.21149897330595482
GSM5050540,Non-diabetic,sweat_gland,1,0.00034223134839151266
GSM5050540,Non-diabetic,t_cell,698,0.23887748117727584
GSM5050547,DFU-healer,b_plasma,59,0.012742980561555076
GSM5050547,DFU-healer,endothelial,235,0.05075593952483801
GSM5050547,DFU-healer,fibroblast,1795,0.3876889848812095
GSM5050547,DFU-healer,keratinocyte,205,0.04427645788336933
GSM5050547,DFU-healer,lymphatic_ec,45,0.009719222462203024
GSM5050547,DFU-healer,mast,21,0.0045356371490280776
GSM5050547,DFU-healer,melanocyte,32,0.006911447084233261
GSM5050547,DFU-healer,myeloid,518,0.11187904967602592
GSM5050547,DFU-healer,pericyte_smc,1487,0.32116630669546437
GSM5050547,DFU-healer,t_cell,233,0.05032397408207343
GSM5050548,Non-diabetic,b_plasma,5,0.001422475106685633
GSM5050548,Non-diabetic,endothelial,248,0.0705547652916074
GSM5050548,Non-diabetic,fibroblast,558,0.15874822190611665
GSM5050548,Non-diabetic,keratinocyte,650,0.18492176386913228
GSM5050548,Non-diabetic,lymphatic_ec,54,0.015362731152204837
GSM5050548,Non-diabetic,mast,28,0.007965860597439544
GSM5050548,Non-diabetic,melanocyte,112,0.031863442389758176
GSM5050548,Non-diabetic,myeloid,168,0.04779516358463727
GSM5050548,Non-diabetic,pericyte_smc,1483,0.42190611664295874
GSM5050548,Non-diabetic,sweat_gland,2,0.0005689900426742532
GSM5050548,Non-diabetic,t_cell,207,0.058890469416785204
GSM5050552,Non-diabetic,endothelial,835,0.33628674989931534
GSM5050552,Non-diabetic,fibroblast,215,0.08658880386629078
GSM5050552,Non-diabetic,keratinocyte,874,0.35199355618203787
GSM5050552,Non-diabetic,lymphatic_ec,46,0.01852597664115989
GSM5050552,Non-diabetic,mast,114,0.045912202980265805
GSM5050552,Non-diabetic,melanocyte,17,0.00684655658477648
GSM5050552,Non-diabetic,myeloid,66,0.026580749093838098
GSM5050552,Non-diabetic,pericyte_smc,248,0.09987917841320983
GSM5050552,Non-diabetic,sweat_gland,1,0.0004027386226339106
GSM5050552,Non-diabetic,t_cell,67,0.02698348771647201
GSM5050555,Non-diabetic,b_plasma,8,0.002308802308802309
GSM5050555,Non-diabetic,endothelial,181,0.052236652236652234
GSM5050555,Non-diabetic,fibroblast,901,0.26002886002886005
GSM5050555,Non-diabetic,keratinocyte,393,0.11341991341991342
GSM5050555,Non-diabetic,lymphatic_ec,60,0.017316017316017316
GSM5050555,Non-diabetic,mast,363,0.10476190476190476
GSM5050555,Non-diabetic,melanocyte,74,0.021356421356421358
GSM5050555,Non-diabetic,myeloid,204,0.05887445887445888
GSM5050555,Non-diabetic,pericyte_smc,958,0.2764790764790765
GSM5050555,Non-diabetic,sweat_gland,201,0.05800865800865801
GSM5050555,Non-diabetic,t_cell,122,0.03520923520923521
GSM5050556,Non-diabetic,b_plasma,11,0.0026240458015267176
GSM5050556,Non-diabetic,endothelial,234,0.055820610687022904
GSM5050556,Non-diabetic,fibroblast,1020,0.2433206106870229
GSM5050556,Non-diabetic,keratinocyte,908,0.21660305343511452
GSM5050556,Non-diabetic,lymphatic_ec,69,0.016459923664122137
GSM5050556,Non-diabetic,mast,166,0.03959923664122137
GSM5050556,Non-diabetic,melanocyte,33,0.007872137404580152
GSM5050556,Non-diabetic,myeloid,125,0.029818702290076337
GSM5050556,Non-diabetic,pericyte_smc,1357,0.3237118320610687
GSM5050556,Non-diabetic,sweat_gland,119,0.02838740458015267
GSM5050556,Non-diabetic,t_cell,150,0.0357824427480916
GSM5050557,DFU-nonhealer,b_plasma,24,0.005623242736644799
GSM5050557,DFU-nonhealer,endothelial,331,0.07755388940955951
GSM5050557,DFU-nonhealer,fibroblast,926,0.2169634489222118
GSM5050557,DFU-nonhealer,keratinocyte,194,0.045454545454545456
GSM5050557,DFU-nonhealer,lymphatic_ec,86,0.02014995313964386
GSM5050557,DFU-nonhealer,mast,110,0.02577319587628866
GSM5050557,DFU-nonhealer,melanocyte,57,0.013355201499531396
GSM5050557,DFU-nonhealer,myeloid,983,0.2303186504217432
GSM5050557,DFU-nonhealer,pericyte_smc,909,0.21298031865042175
GSM5050557,DFU-nonhealer,sweat_gland,34,0.007966260543580132
GSM5050557,DFU-nonhealer,t_cell,614,0.14386129334582942
GSM5050558,DFU-nonhealer,b_plasma,31,0.009082918253735717
GSM5050558,DFU-nonhealer,endothelial,200,0.05859947260474656
GSM5050558,DFU-nonhealer,fibroblast,626,0.18341634925285671
GSM5050558,DFU-nonhealer,keratinocyte,22,0.006445941986522121
GSM5050558,DFU-nonhealer,lymphatic_ec,20,0.005859947260474656
GSM5050558,DFU-nonhealer,mast,33,0.009668912979783182
GSM5050558,DFU-nonhealer,melanocyte,10,0.002929973630237328
GSM5050558,DFU-nonhealer,myeloid,838,0.24553179021388807
GSM5050558,DFU-nonhealer,pericyte_smc,887,0.259888661002051
GSM5050558,DFU-nonhealer,t_cell,746,0.21857603281570465
GSM5050563,DFU-nonhealer,b_plasma,33,0.013301088270858524
GSM5050563,DFU-nonhealer,endothelial,560,0.2257154373236598
GSM5050563,DFU-nonhealer,fibroblast,872,0.35147118097541313
GSM5050563,DFU-nonhealer,keratinocyte,178,0.07174526400644901
GSM5050563,DFU-nonhealer,lymphatic_ec,25,0.01007658202337767
GSM5050563,DFU-nonhealer,mast,1,0.00040306328093510683
GSM5050563,DFU-nonhealer,melanocyte,15,0.006045949214026602
GSM5050563,DFU-nonhealer,myeloid,23,0.009270455461507456
GSM5050563,DFU-nonhealer,pericyte_smc,718,0.2893994357114067
GSM5050563,DFU-nonhealer,sweat_gland,5,0.002015316404675534
GSM5050563,DFU-nonhealer,t_cell,51,0.020556227327690448
GSM5050564,Non-diabetic,b_plasma,1,0.0005827505827505828
GSM5050564,Non-diabetic,endothelial,253,0.14743589743589744
GSM5050564,Non-diabetic,fibroblast,196,0.11421911421911422
GSM5050564,Non-diabetic,keratinocyte,261,0.1520979020979021
GSM5050564,Non-diabetic,lymphatic_ec,48,0.027972027972027972
GSM5050564,Non-diabetic,mast,3,0.0017482517482517483
GSM5050564,Non-diabetic,melanocyte,51,0.02972027972027972
GSM5050564,Non-diabetic,myeloid,20,0.011655011655011656
GSM5050564,Non-diabetic,pericyte_smc,268,0.1561771561771562
GSM5050564,Non-diabetic,sweat_gland,590,0.34382284382284384
GSM5050564,Non-diabetic,t_cell,25,0.014568764568764568
GSM5050566,DFU-healer,b_plasma,19,0.010337323177366704
GSM5050566,DFU-healer,endothelial,432,0.235038084874864
GSM5050566,DFU-healer,fibroblast,170,0.09249183895538629
GSM5050566,DFU-healer,keratinocyte,263,0.14309031556039173
GSM5050566,DFU-healer,lymphatic_ec,45,0.024483133841131665
GSM5050566,DFU-healer,mast,6,0.003264417845484222
GSM5050566,DFU-healer,melanocyte,37,0.02013057671381937
GSM5050566,DFU-healer,myeloid,37,0.02013057671381937
GSM5050566,DFU-healer,pericyte_smc,287,0.15614798694232862
GSM5050566,DFU-healer,sweat_gland,90,0.04896626768226333
GSM5050566,DFU-healer,t_cell,452,0.24591947769314473
GSM5050567,Non-diabetic,endothelial,161,0.20405576679340937
GSM5050567,Non-diabetic,fibroblast,153,0.19391634980988592
GSM5050567,Non-diabetic,keratinocyte,110,0.1394169835234474
GSM5050567,Non-diabetic,lymphatic_ec,24,0.030418250950570342
GSM5050567,Non-diabetic,mast,17,0.021546261089987327
GSM5050567,Non-diabetic,melanocyte,5,0.0063371356147021544
GSM5050567,Non-diabetic,myeloid,26,0.032953105196451206
GSM5050567,Non-diabetic,pericyte_smc,187,0.2370088719898606
GSM5050567,Non-diabetic,sweat_gland,79,0.10012674271229405
GSM5050567,Non-diabetic,t_cell,27,0.034220532319391636
GSM5050568,Non-diabetic,b_plasma,1,0.0006920415224913495
GSM5050568,Non-diabetic,endothelial,263,0.18200692041522493
GSM5050568,Non-diabetic,fibroblast,425,0.29411764705882354
GSM5050568,Non-diabetic,keratinocyte,152,0.10519031141868512
GSM5050568,Non-diabetic,lymphatic_ec,25,0.01730103806228374
GSM5050568,Non-diabetic,mast,21,0.01453287197231834
GSM5050568,Non-diabetic,melanocyte,57,0.03944636678200692
GSM5050568,Non-diabetic,myeloid,36,0.02491349480968858
GSM5050568,Non-diabetic,pericyte_smc,309,0.213840830449827
GSM5050568,Non-diabetic,sweat_gland,118,0.08166089965397924
GSM5050568,Non-diabetic,t_cell,38,0.02629757785467128
GSM5050569,DFU-healer,b_plasma,17,0.005038529934795495
GSM5050569,DFU-healer,endothelial,420,0.12448132780082988
GSM5050569,DFU-healer,fibroblast,1821,0.5397154712507409
GSM5050569,DFU-healer,keratinocyte,284,0.08417308832246592
GSM5050569,DFU-healer,lymphatic_ec,44,0.013040901007705987
GSM5050569,DFU-healer,mast,2,0.0005927682276229994
GSM5050569,DFU-healer,melanocyte,13,0.0038529934795494963
GSM5050569,DFU-healer,myeloid,167,0.04949614700652045
GSM5050569,DFU-healer,pericyte_smc,509,0.15085951393005334
GSM5050569,DFU-healer,sweat_gland,1,0.0002963841138114997
GSM5050569,DFU-healer,t_cell,96,0.02845287492590397
GSM5050573,DFU-healer,b_plasma,58,0.01980874316939891
GSM5050573,DFU-healer,endothelial,180,0.06147540983606557
GSM5050573,DFU-healer,fibroblast,363,0.12397540983606557
GSM5050573,DFU-healer,keratinocyte,667,0.22780054644808742
GSM5050573,DFU-healer,lymphatic_ec,74,0.025273224043715847
GSM5050573,DFU-healer,mast,12,0.004098360655737705
GSM5050573,DFU-healer,melanocyte,19,0.006489071038251366
GSM5050573,DFU-healer,myeloid,69,0.0235655737704918
GSM5050573,DFU-healer,pericyte_smc,1111,0.37943989071038253
GSM5050573,DFU-healer,sweat_gland,18,0.006147540983606557
GSM5050573,DFU-healer,t_cell,357,0.12192622950819672
GSM5050574,Non-diabetic,b_plasma,2,0.0006777363605557439
GSM5050574,Non-diabetic,endothelial,781,0.264656048797018
GSM5050574,Non-diabetic,fibroblast,1152,0.3903761436801084
GSM5050574,Non-diabetic,keratinocyte,112,0.037953236191121655
GSM5050574,Non-diabetic,lymphatic_ec,88,0.02982039986445273
GSM5050574,Non-diabetic,mast,53,0.017960013554727212
