arm,loading,density,cells
DFU-healer,0.01,17.2507225433526,2865
DFU-healer,0.03,8.959537572254336,1488
DFU-healer,0.05,2.552986512524085,424
DFU-healer,0.07,1.511319845857418,251
DFU-healer,0.09,1.1259633911368014,187
DFU-healer,0.11,0.7586705202312142,126
DFU-healer,0.13,0.7887764932562614,131
DFU-healer,0.15000000000000002,0.680394990366089,113
DFU-healer,0.16999999999999998,0.5539499036608866,92
DFU-healer,0.19,0.584055876685934,97
DFU-healer,0.21000000000000002,0.463631984585742,77
DFU-healer,0.22999999999999998,0.4696531791907517,78
DFU-healer,0.25,0.5720134874759147,95
DFU-healer,0.27,0.4576107899807318,76
DFU-healer,0.29000000000000004,0.5840558766859356,97
DFU-healer,0.31,0.6743737957610784,112
DFU-healer,0.33,0.6382466281310206,106
DFU-healer,0.35,0.4636319845857427,77
DFU-healer,0.37,0.5479287090558762,91
DFU-healer,0.39,0.4515895953757222,75
DFU-healer,0.41000000000000003,0.4214836223506752,70
DFU-healer,0.43,0.47567437379576066,79
DFU-healer,0.45,0.5238439306358377,87
DFU-healer,0.47,0.46965317919075233,78
DFU-healer,0.49,0.4576107899807318,76
DFU-healer,0.51,0.4034200385356451,67
DFU-healer,0.53,0.42148362235067405,70
DFU-healer,0.55,0.47567437379576066,79
DFU-healer,0.5700000000000001,0.4034200385356474,67
DFU-healer,0.59,0.3793352601156066,63
DFU-healer,0.61,0.34922928709055845,58
DFU-healer,0.63,0.2950385356454718,49
DFU-healer,0.65,0.32514450867051997,54
DFU-healer,0.67,0.42148362235067405,70
DFU-healer,0.6900000000000001,0.35525048169556805,59
DFU-healer,0.71,0.427504816955686,71
DFU-healer,0.73,0.3311657032755296,55
DFU-healer,0.75,0.2950385356454718,49
DFU-healer,0.77,0.22278420038535623,37
DFU-healer,0.79,0.3191233140655103,53
DFU-healer,0.81,0.3311657032755296,55
DFU-healer,0.8300000000000001,0.3191233140655121,53
DFU-healer,0.85,0.38535645472061625,64
DFU-healer,0.87,0.39739884393063546,66
DFU-healer,0.89,0.2709537572254333,45
DFU-healer,0.91,0.31310211946050065,52
DFU-healer,0.93,0.1083815028901733,18
DFU-healer,0.95,0.012042389210019324,2
DFU-healer,0.97,0.0,0
DFU-healer,0.99,0.0,0
DFU-nonhealer,0.01,35.88016055045872,2503
DFU-nonhealer,0.03,7.8985091743119265,551
DFU-nonhealer,0.05,1.6055045871559637,112
DFU-nonhealer,0.07,0.731077981651376,51
DFU-nonhealer,0.09,0.34403669724770636,24
DFU-nonhealer,0.11,0.25802752293577996,18
DFU-nonhealer,0.13,0.22935779816513743,16
DFU-nonhealer,0.15000000000000002,0.1433486238532111,10
DFU-nonhealer,0.16999999999999998,0.1576834862385322,11
DFU-nonhealer,0.19,0.17201834862385307,12
DFU-nonhealer,0.21000000000000002,0.20068807339449551,14
DFU-nonhealer,0.22999999999999998,0.22935779816513774,16
DFU-nonhealer,0.25,0.1290137614678898,9
DFU-nonhealer,0.27,0.15768348623853198,11
DFU-nonhealer,0.29000000000000004,0.11467889908256904,8
DFU-nonhealer,0.31,0.20068807339449524,14
DFU-nonhealer,0.33,0.07167431192660545,5
DFU-nonhealer,0.35,0.18635321100917468,13
DFU-nonhealer,0.37,0.08600917431192653,6
DFU-nonhealer,0.39,0.05733944954128436,4
DFU-nonhealer,0.41000000000000003,0.02866972477064226,2
DFU-nonhealer,0.43,0.1290137614678898,9
DFU-nonhealer,0.45,0.07167431192660545,5
DFU-nonhealer,0.47,0.08600917431192677,6
DFU-nonhealer,0.49,0.08600917431192653,6
DFU-nonhealer,0.51,0.08600917431192653,6
DFU-nonhealer,0.53,0.07167431192660545,5
DFU-nonhealer,0.55,0.07167431192660545,5
DFU-nonhealer,0.5700000000000001,0.0430045871559635,3
DFU-nonhealer,0.59,0.07167431192660545,5
