omitted,readout,difference,exact_p
Patient 01,fibroblast_mean,0.14450380430009324,0.125
Patient 02,fibroblast_mean,0.06011807571104755,0.5047619047619047
Patient 03,fibroblast_mean,0.11343657746449645,0.20476190476190476
Patient 04,fibroblast_mean,0.05932321300770643,0.5047619047619047
Patient 05,fibroblast_mean,0.06546282077340172,0.525
Patient 06,fibroblast_mean,0.0672781210125937,0.5166666666666667
Patient 07,fibroblast_mean,0.07953471982438017,0.44166666666666665
Patient 08,fibroblast_mean,0.09053660611344527,0.319047619047619
Patient 09,fibroblast_mean,0.0832298453261319,0.3761904761904762
Patient 10,fibroblast_mean,0.10625780161724974,0.2571428571428571
Patient 11,fibroblast_mean,0.11146194610324317,0.21904761904761905
Patient 01,high_state_fraction,0.27200900219732993,0.13333333333333333
Patient 02,high_state_fraction,0.1038683586023896,0.5666666666666667
Patient 03,high_state_fraction,0.19782087834015769,0.2761904761904762
Patient 04,high_state_fraction,0.08501736536465654,0.5666666666666667
Patient 05,high_state_fraction,0.10157159646580655,0.5833333333333334
Patient 06,high_state_fraction,0.10264547962731857,0.5833333333333334
Patient 07,high_state_fraction,0.12947679524256497,0.5166666666666667
Patient 08,high_state_fraction,0.1522653731119817,0.38571428571428573
Patient 09,high_state_fraction,0.13960692799814153,0.43333333333333335
Patient 10,high_state_fraction,0.18786490887644322,0.29523809523809524
Patient 11,high_state_fraction,0.1935362163890145,0.2761904761904762
Patient 01,fibroblast_fraction,0.03251231453815434,0.7583333333333333
Patient 02,fibroblast_fraction,0.05668489810185262,0.6095238095238096
Patient 03,fibroblast_fraction,0.0656359482887457,0.5666666666666667
Patient 04,fibroblast_fraction,0.09148864380886718,0.37142857142857144
Patient 05,fibroblast_fraction,0.06568936127377942,0.5833333333333334
Patient 06,fibroblast_fraction,0.0675405370476215,0.575
Patient 07,fibroblast_fraction,0.11734525609775162,0.30833333333333335
Patient 08,fibroblast_fraction,0.05404699127847418,0.6285714285714286
Patient 09,fibroblast_fraction,0.09719644587322662,0.3333333333333333
Patient 10,fibroblast_fraction,0.10244370768667316,0.3047619047619048
Patient 11,fibroblast_fraction,0.027906435637447408,0.7571428571428571
