gsm,celltype,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
GSM5050523,b_plasma,COL1A1,40,3.823539137674218,0.8,5.251174972269822
GSM5050523,b_plasma,PDGFRA,40,0.31066536786034604,0.225,0.7007598303922401
GSM5050523,b_plasma,KRT14,40,0.8510168624571091,0.5,1.1736033285163667
GSM5050523,b_plasma,KRT10,40,0.8725357665093771,0.575,1.1736033285163667
GSM5050523,b_plasma,LYZ,40,0.0,0.0,0.0
GSM5050523,b_plasma,CD3D,40,0.050734559922132716,0.025,0.06549327767743107
GSM5050523,b_plasma,MS4A1,40,0.3943403367697186,0.15,0.5564915752838221
GSM5050523,b_plasma,PECAM1,40,0.0504637927114439,0.025,0.06549327767743107
GSM5050523,b_plasma,CCL21,40,0.11802103427491013,0.1,0.23960117057867814
GSM5050523,b_plasma,RGS5,40,0.3490184010361766,0.175,1.0630527007800468
GSM5050523,b_plasma,TPSAB1,40,0.050734559922132716,0.025,0.06549327767743107
GSM5050523,b_plasma,PMEL,40,0.0,0.0,0.0
GSM5050523,b_plasma,DCD,40,0.0,0.0,0.0
GSM5050523,b_plasma,TIMP1,40,1.6028658556181512,0.65,2.619210628378936
GSM5050523,b_plasma,CHI3L1,40,0.0,0.0,0.0
GSM5050523,b_plasma,FN1,40,1.2812166449732572,0.65,1.958925142062609
GSM5050523,b_plasma,DCN,40,2.222181492287895,0.725,3.238763652710193
GSM5050523,b_plasma,LUM,40,2.868924969567481,0.75,4.1014512770498674
GSM5050523,endothelial,COL1A1,420,1.0301149669887002,0.6595238095238095,2.000289032525752
GSM5050523,endothelial,PDGFRA,420,0.012414081203211922,0.014285714285714285,0.02198674365076187
GSM5050523,endothelial,KRT14,420,0.7109209352391938,0.5261904761904762,0.9810545403101316
GSM5050523,endothelial,KRT10,420,0.6108179989904863,0.4928571428571429,0.9355858798343648
GSM5050523,endothelial,LYZ,420,0.005275537948923404,0.009523809523809525,0.014711410153715585
GSM5050523,endothelial,CD3D,420,0.0,0.0,0.0
GSM5050523,endothelial,MS4A1,420,0.0,0.0,0.0
GSM5050523,endothelial,PECAM1,420,2.0387362611521156,0.8595238095238096,2.33030943882375
GSM5050523,endothelial,CCL21,420,0.07727709735370836,0.09761904761904762,0.15420217854174695
GSM5050523,endothelial,RGS5,420,0.16782148600606298,0.1357142857142857,0.5372927391615638
GSM5050523,endothelial,TPSAB1,420,0.015242326073260195,0.009523809523809525,0.018355693197333586
GSM5050523,endothelial,PMEL,420,0.010560957716878254,0.011904761904761904,0.018355693197333586
GSM5050523,endothelial,DCD,420,0.0,0.0,0.0
GSM5050523,endothelial,TIMP1,420,1.4287430718404484,0.7547619047619047,1.8343647086161796
GSM5050523,endothelial,CHI3L1,420,0.0,0.0,0.0
GSM5050523,endothelial,FN1,420,0.553506114429773,0.3523809523809524,1.0165336390637432
GSM5050523,endothelial,DCN,420,0.12115424497819917,0.1,0.35492905139513986
GSM5050523,endothelial,LUM,420,0.30039533616021435,0.2761904761904762,0.6746318811077374
GSM5050523,fibroblast,COL1A1,1238,5.587119079030212,0.9983844911147012,5.847701007637026
GSM5050523,fibroblast,PDGFRA,1238,0.6100383383019298,0.49596122778675283,0.7082692822178855
GSM5050523,fibroblast,KRT14,1238,0.726623029981802,0.6292407108239095,0.892507626303664
GSM5050523,fibroblast,KRT10,1238,1.1253255274156753,0.7681744749596123,1.3751103368060555
GSM5050523,fibroblast,LYZ,1238,0.0027812721639657294,0.0032310177705977385,0.004048777032328421
GSM5050523,fibroblast,CD3D,1238,0.002687336100029266,0.0024232633279483036,0.0030381185427784127
GSM5050523,fibroblast,MS4A1,1238,0.0,0.0,0.0
GSM5050523,fibroblast,PECAM1,1238,0.0513958778724572,0.06462035541195477,0.09936318108277917
GSM5050523,fibroblast,CCL21,1238,0.08937395544075576,0.1098546042003231,0.14249833521790078
GSM5050523,fibroblast,RGS5,1238,0.11213953991867996,0.11308562197092084,0.2586231330870167
GSM5050523,fibroblast,TPSAB1,1238,0.012757853531247327,0.012116316639741519,0.01709522412713379
GSM5050523,fibroblast,PMEL,1238,0.002238028165637614,0.0032310177705977385,0.004048777032328421
GSM5050523,fibroblast,DCD,1238,0.0,0.0,0.0
GSM5050523,fibroblast,TIMP1,1238,2.252516975534112,0.9394184168012925,2.593904272973184
GSM5050523,fibroblast,CHI3L1,1238,0.030361824389774562,0.018578352180936994,0.19141606687692692
GSM5050523,fibroblast,FN1,1238,2.067374106284932,0.8820678513731826,2.640837774081912
GSM5050523,fibroblast,DCN,1238,3.2669631206460674,0.9878836833602584,3.3801286162288573
GSM5050523,fibroblast,LUM,1238,3.9467326105667873,0.9911147011308562,4.249250917541265
GSM5050523,keratinocyte,COL1A1,170,1.115712501849255,0.8823529411764706,1.6194653649717212
GSM5050523,keratinocyte,PDGFRA,170,0.001018522563131243,0.0058823529411764705,0.0032875895273499676
GSM5050523,keratinocyte,KRT14,170,5.650940388528802,1.0,6.050639291524969
GSM5050523,keratinocyte,KRT10,170,2.1082509996947807,0.9058823529411765,3.6805875216390285
GSM5050523,keratinocyte,LYZ,170,0.0,0.0,0.0
GSM5050523,keratinocyte,CD3D,170,0.0,0.0,0.0
GSM5050523,keratinocyte,MS4A1,170,0.0,0.0,0.0
GSM5050523,keratinocyte,PECAM1,170,0.02380275935542844,0.052941176470588235,0.032399419950056
GSM5050523,keratinocyte,CCL21,170,0.11884862448113191,0.24705882352941178,0.16366695084641555
GSM5050523,keratinocyte,RGS5,170,0.1816817044004282,0.28823529411764703,0.3836324608556377
GSM5050523,keratinocyte,TPSAB1,170,0.009392818550276356,0.023529411764705882,0.013086001877766935
GSM5050523,keratinocyte,PMEL,170,0.002199409997719693,0.0058823529411764705,0.0032875895273499676
GSM5050523,keratinocyte,DCD,170,0.0,0.0,0.0
GSM5050523,keratinocyte,TIMP1,170,0.33184152813348944,0.4823529411764706,0.5333902622807639
GSM5050523,keratinocyte,CHI3L1,170,0.04773808131769016,0.07058823529411765,0.054470185885758075
GSM5050523,keratinocyte,FN1,170,0.1369594148393054,0.2235294117647059,0.21010124495237656
GSM5050523,keratinocyte,DCN,170,0.45010954981790063,0.5352941176470588,0.6737379728485665
GSM5050523,keratinocyte,LUM,170,0.3576478367053206,0.5058823529411764,0.6220624203493335
GSM5050523,lymphatic_ec,COL1A1,50,1.6621815993656859,0.76,2.7825659852523703
GSM5050523,lymphatic_ec,PDGFRA,50,0.026683125872273124,0.04,0.05921919951451583
GSM5050523,lymphatic_ec,KRT14,50,0.698542882825088,0.5,0.8894057517522186
GSM5050523,lymphatic_ec,KRT10,50,0.46300847899646597,0.42,0.7115431277442167
GSM5050523,lymphatic_ec,LYZ,50,0.0,0.0,0.0
GSM5050523,lymphatic_ec,CD3D,50,0.0062233345898682095,0.02,0.030047899916731693
GSM5050523,lymphatic_ec,MS4A1,50,0.0,0.0,0.0
GSM5050523,lymphatic_ec,PECAM1,50,0.7296985569463362,0.48,1.1902162260006381
GSM5050523,lymphatic_ec,CCL21,50,3.47772438841953,0.8,5.430191767310857
GSM5050523,lymphatic_ec,RGS5,50,0.29986352024652385,0.22,0.4571551794279608
GSM5050523,lymphatic_ec,TPSAB1,50,0.0,0.0,0.0
GSM5050523,lymphatic_ec,PMEL,50,0.040670538752415775,0.02,0.14195038868327697
GSM5050523,lymphatic_ec,DCD,50,0.0,0.0,0.0
GSM5050523,lymphatic_ec,TIMP1,50,2.650604146967512,0.9,4.167751683392948
GSM5050523,lymphatic_ec,CHI3L1,50,0.0,0.0,0.0
GSM5050523,lymphatic_ec,FN1,50,1.1555000679323035,0.66,1.583913829925379
GSM5050523,lymphatic_ec,DCN,50,0.6930808576209985,0.32,1.3988130202511648
GSM5050523,lymphatic_ec,LUM,50,1.1356591666036686,0.44,1.8935968394529212
GSM5050523,mast,COL1A1,43,1.2755251044552258,0.4883720930232558,3.4583918104318223
GSM5050523,mast,PDGFRA,43,0.04617688608383768,0.046511627906976744,0.2427070036980511
GSM5050523,mast,KRT14,43,0.5490292319916777,0.2558139534883721,1.1623882402529588
GSM5050523,mast,KRT10,43,0.4483090642692655,0.23255813953488372,1.0244338793956878
GSM5050523,mast,LYZ,43,0.0,0.0,0.0
GSM5050523,mast,CD3D,43,0.1762525989038973,0.06976744186046512,0.43786141925987443
GSM5050523,mast,MS4A1,43,0.0,0.0,0.0
GSM5050523,mast,PECAM1,43,0.14486861330264228,0.06976744186046512,0.34503733172978546
GSM5050523,mast,CCL21,43,0.06430512622400594,0.023255813953488372,0.1286988358063945
GSM5050523,mast,RGS5,43,0.2251653933493749,0.06976744186046512,2.080031961787747
GSM5050523,mast,TPSAB1,43,4.002356188069744,0.8604651162790697,4.656307935920149
GSM5050523,mast,PMEL,43,0.0,0.0,0.0
GSM5050523,mast,DCD,43,0.0,0.0,0.0
GSM5050523,mast,TIMP1,43,1.5248684677134052,0.5813953488372093,2.6522107461607636
GSM5050523,mast,CHI3L1,43,0.0,0.0,0.0
GSM5050523,mast,FN1,43,0.2384437130408165,0.13953488372093023,0.9206105824635421
GSM5050523,mast,DCN,43,0.4770247109095372,0.18604651162790697,2.0089298269705655
GSM5050523,mast,LUM,43,0.6048203082448491,0.18604651162790697,2.9072174345204695
GSM5050523,melanocyte,COL1A1,14,1.0791186218163573,0.42857142857142855,1.8715145410128013
GSM5050523,melanocyte,PDGFRA,14,0.0,0.0,0.0
GSM5050523,melanocyte,KRT14,14,0.28381245001968985,0.14285714285714285,0.7417592941730226
GSM5050523,melanocyte,KRT10,14,0.6852173958899052,0.2857142857142857,1.1629171119484514
GSM5050523,melanocyte,LYZ,14,0.0,0.0,0.0
GSM5050523,melanocyte,CD3D,14,0.0,0.0,0.0
GSM5050523,melanocyte,MS4A1,14,0.0,0.0,0.0
GSM5050523,melanocyte,PECAM1,14,0.0,0.0,0.0
GSM5050523,melanocyte,CCL21,14,0.0,0.0,0.0
GSM5050523,melanocyte,RGS5,14,0.5051094359822182,0.14285714285714285,1.5787088633719704
GSM5050523,melanocyte,TPSAB1,14,0.0,0.0,0.0
GSM5050523,melanocyte,PMEL,14,0.16378652577525615,0.07142857142857142,0.43813431950201187
GSM5050523,melanocyte,DCD,14,0.0,0.0,0.0
GSM5050523,melanocyte,TIMP1,14,1.487337631883508,0.5714285714285714,2.3366794272002687
GSM5050523,melanocyte,CHI3L1,14,0.0,0.0,0.0
GSM5050523,melanocyte,FN1,14,0.1037691302401701,0.07142857142857142,0.7417592941730226
GSM5050523,melanocyte,DCN,14,0.5685174707674244,0.21428571428571427,1.1629171119484514
GSM5050523,melanocyte,LUM,14,1.1845900813190766,0.35714285714285715,2.4845950405068544
GSM5050523,myeloid,COL1A1,97,1.1669344281645804,0.6288659793814433,2.3140681470205466
GSM5050523,myeloid,PDGFRA,97,0.009553985504046118,0.010309278350515464,0.030031114536781145
GSM5050523,myeloid,KRT14,97,0.6951973317840126,0.4020618556701031,1.050710566440166
GSM5050523,myeloid,KRT10,97,0.13383265555549517,0.10309278350515463,0.33384432624576177
GSM5050523,myeloid,LYZ,97,2.739420428877981,0.845360824742268,3.7649827907974265
GSM5050523,myeloid,CD3D,97,0.0,0.0,0.0
GSM5050523,myeloid,MS4A1,97,0.0,0.0,0.0
GSM5050523,myeloid,PECAM1,97,0.2002599810227568,0.12371134020618557,0.3765846870292802
GSM5050523,myeloid,CCL21,97,0.05112918680546916,0.041237113402061855,0.11506502188686277
GSM5050523,myeloid,RGS5,97,0.03197753063495969,0.020618556701030927,0.059186593653510235
GSM5050523,myeloid,TPSAB1,97,0.0,0.0,0.0
GSM5050523,myeloid,PMEL,97,0.0,0.0,0.0
GSM5050523,myeloid,DCD,97,0.018882424080935628,0.010309278350515464,0.030031114536781145
