gsm,title,tissue,disease
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
GSM5050523,G2: Foot skin of subject with healing DFU,Foot skin,DFU-healer
